,0
0,0.005
1,0.0
2,0.0
3,0.1625
4,0.0075
5,0.0
6,0.0425
7,0.02
8,0.0
9,0.805
10,0.005
11,0.0225
12,0.0125
13,0.035
14,0.0075
15,0.0
16,0.0025
17,0.005
18,0.155
19,0.0
20,0.895
21,0.0125
22,0.0425
23,0.5175
24,0.0
25,0.0125
26,0.0
27,0.0025
28,0.015
29,0.0875
30,0.345
31,0.015
32,0.495
33,0.0
34,0.0
35,0.11
36,0.0
37,0.0
38,0.03
39,0.0
40,0.0025
41,0.0825
42,0.0175
43,0.7775
44,0.0025
45,0.0025
46,0.1675
47,0.005
48,0.0
49,0.0775
50,0.0075
51,0.0025
52,0.0275
53,0.025
54,0.0225
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0925
62,0.17
63,0.005
64,0.0025
65,0.0075
66,0.2725
67,0.3775
68,0.67
69,0.93
70,0.0975
71,0.1025
72,0.1
73,0.0
74,0.0
75,0.045
76,0.0425
77,0.015
78,0.1
79,0.0275
80,0.01
81,0.4525
82,0.635
83,0.105
84,0.97
85,0.0075
86,0.0
87,0.905
88,0.0675
89,0.0125
90,0.225
91,0.1125
92,0.48
93,0.015
94,0.65
95,0.545
96,0.255
97,0.0
98,0.0025
99,0.01
100,0.605
101,0.0025
102,0.265
103,0.025
104,0.01
105,0.385
106,0.805
107,0.0
108,0.9975
109,0.0175
110,0.1675
111,0.0025
112,0.0
113,0.7825
114,0.0575
115,0.025
116,0.405
117,0.0
118,0.0
119,0.0025
120,0.2175
121,0.065
122,0.3825
123,0.01
124,0.295
125,0.005
126,0.0
127,0.0
128,0.53
129,0.1725
130,0.0025
131,0.335
132,0.01
133,0.0775
134,0.0225
135,0.0625
136,0.2225
137,0.0175
138,0.84
139,0.4875
140,0.4675
141,0.0025
142,0.005
143,0.11
144,0.1175
145,0.31
146,0.0
147,0.0175
148,0.2825
149,0.02
150,0.0325
151,0.0075
152,0.36
153,0.4625
154,0.0
155,0.0
156,0.045
157,0.01
158,0.195
159,0.0025
160,0.2775
161,0.0025
162,0.0
163,0.0075
164,0.48
165,0.0
166,0.0125
167,0.07
168,0.025
169,0.0
170,0.02
171,0.0
172,0.12
173,0.0275
174,0.0225
175,0.0
176,0.0175
177,0.84
178,0.065
179,0.0025
180,0.34
181,0.015
182,0.0
183,0.18
184,0.1225
185,0.7275
186,0.02
187,0.02
188,0.07
189,0.01
190,0.0
191,0.0
192,0.0
193,0.6125
194,0.0
195,0.06
196,0.0
197,0.0
198,0.1475
199,0.0
200,0.0025
201,0.0
202,0.0225
203,0.0
204,0.31
205,0.015
206,0.03
207,0.005
208,0.66
209,0.02
210,0.0
211,0.0
212,0.0325
213,0.03
214,0.455
215,0.0025
216,0.01
217,0.0425
218,0.0
219,0.0
220,0.005
221,0.035
222,0.0875
223,0.14
224,0.0
225,0.3875
226,0.01
227,0.0525
228,0.0
229,0.01
230,0.0825
231,0.0275
232,0.2275
233,0.12
234,0.075
235,0.0275
236,0.055
237,0.0875
238,0.0075
239,0.1225
240,0.0925
241,0.005
242,0.4275
243,0.015
244,0.0675
245,0.0475
246,0.115
247,0.0
248,0.5425
249,0.045
250,0.0
251,0.4075
252,0.0
253,0.5125
254,0.8025
255,0.95
256,0.725
257,0.0175
258,0.745
259,0.0525
260,0.0
261,0.005
262,0.5175
263,0.0
264,0.0
265,0.02
266,0.025
267,0.0025
268,0.01
269,0.0875
270,0.4025
271,0.33
272,0.4175
273,0.54
274,0.0
275,0.175
276,0.125
277,0.9025
278,0.8
279,0.0
280,0.0625
281,0.0325
282,0.01
283,0.05
284,0.1125
285,0.3975
286,0.0125
287,0.0075
288,0.6325
289,0.055
290,0.0025
291,0.4975
292,0.0
293,0.045
294,0.005
295,0.1575
296,0.0025
297,0.135
298,0.9375
299,0.03
300,0.16
301,0.0
302,0.0125
303,0.03
304,0.01
305,0.11
306,0.0
307,0.3225
308,0.0025
309,0.0
310,0.875
311,0.01
312,0.0
313,0.04
314,0.03
315,0.0
316,0.0
317,0.69
318,0.0575
319,0.0875
320,0.2975
321,0.7225
322,0.0025
323,0.0075
324,0.0
325,0.5775
326,0.2625
327,0.0775
328,0.735
329,0.01
330,0.065
331,0.085
332,0.0275
333,0.01
334,0.0025
335,0.0
336,0.0175
337,0.8475
338,0.1025
339,0.27
340,0.5675
341,0.0675
342,0.0025
343,0.0825
344,0.005
345,0.0025
346,0.055
347,0.0025
348,0.3125
349,0.9825
350,0.095
351,0.09
352,0.285
353,0.0575
354,0.0
355,0.025
356,0.095
357,0.0
358,0.1125
359,0.015
360,0.0
361,0.4225
362,0.0
363,0.0225
364,0.1125
365,0.0575
366,0.0
367,0.0125
368,0.62
369,0.555
370,0.6125
371,0.015
372,0.0
373,0.1125
374,0.0
375,0.04
376,0.0025
377,0.1275
378,0.0475
379,0.0
380,0.0375
381,0.0075
382,0.225
383,0.0
384,0.0
385,0.0175
386,0.0025
387,0.0
388,0.0725
389,0.0675
390,0.0075
391,0.91
392,0.5725
393,0.005
394,0.0075
395,0.2275
396,0.4875
397,0.13
398,0.035
399,0.0875
400,0.05
401,0.0025
402,0.0
403,0.44
404,0.215
405,0.2725
406,0.1325
407,0.055
408,0.005
409,0.0525
410,0.3525
411,0.0
412,0.015
413,0.0025
414,0.1075
415,0.1475
416,0.515
417,0.005
418,0.035
419,0.02
420,0.0175
421,0.8575
422,0.04
423,0.5525
424,0.0025
425,0.0975
426,0.0
427,0.0325
428,0.365
429,0.36
430,0.0075
431,0.0275
432,0.9025
433,0.015
434,0.03
435,0.1525
436,0.2675
437,0.0
438,0.0
439,0.005
440,0.0325
441,0.14
442,0.2225
443,0.0375
444,0.0075
445,0.3575
446,0.0075
447,0.3675
448,0.0025
449,0.0
450,0.0125
451,0.0
452,0.0075
453,0.2025
454,0.005
455,0.4375
456,0.035
457,0.375
458,0.5725
459,0.0
460,0.01
461,0.0975
462,0.0575
463,0.0075
464,0.0075
465,0.0025
466,0.09
467,0.015
468,0.0
469,0.02
470,0.01
471,0.05
472,0.0
473,0.06
474,0.0
475,0.0
476,0.0
477,0.005
478,0.7875
479,0.02
480,0.315
481,0.98
482,0.3825
483,0.0
484,0.04
485,0.075
486,0.0
487,0.0025
488,0.3675
489,0.855
490,0.1
491,0.0075
492,0.02
493,0.0375
494,0.0075
495,0.765
496,0.05
497,0.005
498,0.1325
499,0.025
500,0.305
501,0.0
502,0.22
503,0.38
504,0.31
505,0.075
506,0.0
507,0.0
508,0.0175
509,0.0125
510,0.155
511,0.5275
512,0.165
513,0.005
514,0.0375
515,0.5725
516,0.0
517,0.0125
518,0.0075
519,0.0025
520,0.0025
521,0.005
522,0.14
523,0.045
524,0.04
525,0.0075
526,0.0525
527,0.6425
528,0.15
529,0.0
530,0.015
531,0.005
532,0.015
533,0.0
534,0.015
535,0.0025
536,0.6725
537,0.185
538,0.0
539,0.57
540,0.54
541,0.005
542,0.2375
543,0.0675
544,0.005
545,0.0
546,0.005
547,0.015
548,0.0
549,0.0
550,0.0425
551,0.01
552,0.01
553,0.0375
554,0.0675
555,0.0075
556,0.0
557,0.5
558,0.155
559,0.0
560,0.11
561,0.0125
562,0.0
563,0.01
564,0.015
565,0.0025
566,0.0125
567,0.86
568,0.855
569,0.6675
570,0.0025
571,0.2475
572,0.0675
573,0.0075
574,0.01
575,0.84
576,0.03
577,0.03
578,0.0025
579,0.8225
580,0.005
581,0.14
582,0.0425
583,0.02
584,0.0075
585,0.015
586,0.03
587,0.5175
588,0.425
589,0.11
590,0.0025
591,0.155
592,0.0
593,0.48
594,0.015
595,0.9325
596,0.0025
597,0.06
598,0.0
599,0.0075
600,0.0025
601,0.0
602,0.0075
603,0.1025
604,0.0
605,0.18
606,0.0
607,0.0
608,0.0025
609,0.0
610,0.1225
611,0.02
612,0.015
613,0.005
614,0.005
615,0.9525
616,0.01
617,0.02
618,0.34
619,0.01
620,0.0
621,0.355
622,0.0
623,0.13
624,0.0025
625,0.03
626,0.385
627,0.085
628,0.0
629,0.6925
630,0.965
631,0.0
632,0.015
633,0.0275
634,0.04
635,0.17
636,0.0
637,0.0
638,0.0
639,0.015
640,0.005
641,0.0375
642,0.245
643,0.0025
644,0.0075
645,0.1575
646,0.01
647,0.1525
648,0.6
649,0.0375
650,0.0075
651,0.07
652,0.355
653,0.0
654,0.57
655,0.0775
656,0.34
657,0.0
658,0.1525
659,0.0025
660,0.0
661,0.0775
662,0.005
663,0.185
664,0.0025
665,0.1875
666,0.065
667,0.005
668,0.1025
669,0.3
670,0.04
671,0.005
672,0.04
673,0.065
674,0.41
675,0.0825
676,0.01
677,0.04
678,0.59
679,0.005
680,0.0
681,0.0675
682,0.0
683,0.6175
684,0.0
685,0.4475
686,0.05
687,0.3025
688,0.0125
689,0.8
690,0.0
691,0.99
692,0.095
693,0.3125
694,0.0125
695,0.2225
696,0.0125
697,0.7175
698,0.105
699,0.01
700,0.375
701,0.0175
702,0.0
703,0.9
704,0.23
705,0.0275
706,0.005
707,0.0025
708,0.0275
709,0.06
710,0.3725
711,0.015
712,0.09
713,0.0225
714,0.0175
715,0.04
716,0.6725
717,0.0125
718,0.2675
719,0.01
720,0.0
721,0.1525
722,0.0
723,0.0175
724,0.02
725,0.005
726,0.05
727,0.0
728,0.0025
729,0.4025
730,0.0875
731,0.0075
732,0.2
733,0.825
734,0.14
735,0.0
736,0.0225
737,0.2275
738,0.035
739,0.0
740,0.0
741,0.5325
742,0.0175
743,0.0
744,0.02
745,0.0
746,0.0075
747,0.0975
748,0.0
749,0.0075
750,0.0
751,0.0
752,0.0
753,0.66
754,0.9875
755,0.1725
756,0.0725
757,0.64
758,0.005
759,0.6675
760,0.135
761,0.0025
762,0.075
763,0.0625
764,0.0025
765,0.0025
766,0.0
767,0.0
768,0.0
769,0.35
770,0.0
771,0.7375
772,0.08
773,0.0
774,0.025
775,0.0
776,0.71
777,0.265
778,0.535
779,0.0
780,0.69
781,0.38
782,0.0
783,0.0025
784,0.1075
785,0.0025
786,0.045
787,0.7025
788,0.0
789,0.1175
790,0.585
791,0.33
792,0.0
793,0.0425
794,0.0275
795,0.0025
796,0.955
797,0.8225
798,0.015
799,0.495
800,0.6025
801,0.025
802,0.1075
803,0.02
804,0.0075
805,0.0
806,0.025
807,0.0
808,0.0025
809,0.0475
810,0.3775
811,0.0
812,0.0325
813,0.3975
814,0.09
815,0.0
816,0.0325
817,0.0325
818,0.0
819,0.0
820,0.075
821,0.0
822,0.115
823,0.0
824,0.0225
825,0.64
826,0.0225
827,0.8125
828,0.0
829,0.005
830,0.0
831,0.0025
832,0.6675
833,0.025
834,0.0175
835,0.105
836,0.0575
837,0.01
838,0.005
839,0.05
840,0.0025
841,0.0475
842,0.5925
