,0
0,0.0
1,0.0
2,0.0
3,0.2
4,0.005
5,0.0
6,0.0475
7,0.0175
8,0.0025
9,0.83
10,0.0025
11,0.005
12,0.0175
13,0.0375
14,0.0075
15,0.005
16,0.0
17,0.0
18,0.15
19,0.0
20,0.8925
21,0.0
22,0.03
23,0.57
24,0.0
25,0.0125
26,0.0
27,0.0
28,0.01
29,0.0775
30,0.33
31,0.015
32,0.4975
33,0.0
34,0.0
35,0.0725
36,0.0
37,0.005
38,0.0175
39,0.0
40,0.0
41,0.07
42,0.02
43,0.755
44,0.0
45,0.005
46,0.3675
47,0.0
48,0.0
49,0.0925
50,0.0
51,0.0
52,0.0075
53,0.0375
54,0.015
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0075
60,0.0
61,0.0925
62,0.2275
63,0.005
64,0.0
65,0.0
66,0.2425
67,0.35
68,0.6725
69,0.8925
70,0.0725
71,0.0925
72,0.0275
73,0.0
74,0.0
75,0.0475
76,0.0525
77,0.0
78,0.05
79,0.0225
80,0.0175
81,0.505
82,0.57
83,0.07
84,0.9825
85,0.0025
86,0.0
87,0.8225
88,0.0575
89,0.005
90,0.155
91,0.075
92,0.4725
93,0.015
94,0.6675
95,0.5325
96,0.2375
97,0.0
98,0.0
99,0.0175
100,0.645
101,0.0
102,0.27
103,0.0275
104,0.0025
105,0.4025
106,0.7625
107,0.0
108,0.9925
109,0.005
110,0.1425
111,0.0025
112,0.0
113,0.7275
114,0.04
115,0.025
116,0.5025
117,0.0
118,0.0
119,0.0
120,0.26
121,0.07
122,0.3575
123,0.0075
124,0.265
125,0.0025
126,0.0
127,0.0
128,0.5675
129,0.1475
130,0.0
131,0.3075
132,0.005
133,0.0475
134,0.0175
135,0.02
136,0.145
137,0.005
138,0.83
139,0.4775
140,0.485
141,0.0025
142,0.0
143,0.095
144,0.1025
145,0.31
146,0.0
147,0.0325
148,0.305
149,0.0275
150,0.0525
151,0.0025
152,0.37
153,0.505
154,0.0
155,0.0
156,0.04
157,0.0025
158,0.1375
159,0.0025
160,0.2525
161,0.0
162,0.0
163,0.0125
164,0.5475
165,0.005
166,0.005
167,0.045
168,0.0175
169,0.0
170,0.015
171,0.0
172,0.04
173,0.0725
174,0.0125
175,0.0
176,0.0125
177,0.775
178,0.0325
179,0.01
180,0.51
181,0.02
182,0.0
183,0.145
184,0.0975
185,0.895
186,0.0325
187,0.01
188,0.055
189,0.005
190,0.0025
191,0.0
192,0.0
193,0.59
194,0.0
195,0.0375
196,0.0
197,0.0025
198,0.1
199,0.0
200,0.0
201,0.0
202,0.02
203,0.0175
204,0.3025
205,0.0475
206,0.045
207,0.0275
208,0.6
209,0.01
210,0.0
211,0.0
212,0.015
213,0.04
214,0.4075
215,0.01
216,0.015
217,0.03
218,0.0
219,0.0
220,0.01
221,0.0175
222,0.17
223,0.1125
224,0.0
225,0.3975
226,0.005
227,0.045
228,0.0
229,0.0075
230,0.0525
231,0.0275
232,0.18
233,0.1125
234,0.0975
235,0.0125
236,0.04
237,0.0825
238,0.0375
239,0.105
240,0.1225
241,0.0025
242,0.4275
243,0.01
244,0.0625
245,0.0675
246,0.1075
247,0.0
248,0.4775
249,0.0225
250,0.0
251,0.5125
252,0.0025
253,0.46
254,0.8275
255,0.945
256,0.645
257,0.0175
258,0.805
259,0.07
260,0.0
261,0.0
262,0.49
263,0.0025
264,0.0075
265,0.0725
266,0.07
267,0.005
268,0.015
269,0.0775
270,0.39
271,0.2525
272,0.435
273,0.215
274,0.0025
275,0.1525
276,0.12
277,0.8125
278,0.8
279,0.005
280,0.0825
281,0.01
282,0.0125
283,0.04
284,0.0925
285,0.3625
286,0.0025
287,0.01
288,0.5825
289,0.0575
290,0.0025
291,0.535
292,0.0
293,0.0175
294,0.0
295,0.1425
296,0.005
297,0.155
298,0.9625
299,0.0275
300,0.1125
301,0.0
302,0.0025
303,0.04
304,0.005
305,0.09
306,0.0
307,0.2775
308,0.035
309,0.0
310,0.845
311,0.015
312,0.0
313,0.0175
314,0.0375
315,0.0
316,0.0
317,0.7825
318,0.02
319,0.0725
320,0.265
321,0.7775
322,0.01
323,0.0175
324,0.0
325,0.5525
326,0.37
327,0.13
328,0.7525
329,0.015
330,0.0425
331,0.0725
332,0.005
333,0.005
334,0.005
335,0.0
336,0.0075
337,0.8475
338,0.08
339,0.1925
340,0.5625
341,0.0225
342,0.0225
343,0.06
344,0.005
345,0.0
346,0.0575
347,0.0025
348,0.275
349,0.9875
350,0.065
351,0.05
352,0.1725
353,0.0175
354,0.0075
355,0.0225
356,0.0825
357,0.0
358,0.0925
359,0.0075
360,0.0
361,0.4025
362,0.0
363,0.035
364,0.1025
365,0.02
366,0.005
367,0.005
368,0.5825
369,0.485
370,0.63
371,0.0125
372,0.0
373,0.0875
374,0.0025
375,0.0375
376,0.0075
377,0.0975
378,0.08
379,0.0
380,0.025
381,0.0025
382,0.1025
383,0.0
384,0.0025
385,0.0025
386,0.0
387,0.0
388,0.09
389,0.06
390,0.005
391,0.9125
392,0.61
393,0.015
394,0.0025
395,0.145
396,0.5275
397,0.0875
398,0.015
399,0.0675
400,0.0325
401,0.0
402,0.0
403,0.5125
404,0.21
405,0.2175
406,0.3175
407,0.065
408,0.0
409,0.0125
410,0.375
411,0.0025
412,0.025
413,0.0
414,0.08
415,0.1125
416,0.46
417,0.0025
418,0.04
419,0.02
420,0.0125
421,0.845
422,0.0375
423,0.535
424,0.0025
425,0.085
426,0.0
427,0.01
428,0.5475
429,0.3075
430,0.0075
431,0.015
432,0.9425
433,0.0025
434,0.0275
435,0.1425
436,0.26
437,0.005
438,0.0
439,0.0025
440,0.0275
441,0.1425
442,0.1575
443,0.0275
444,0.0075
445,0.285
446,0.0
447,0.4525
448,0.0525
449,0.0075
450,0.0025
451,0.0
452,0.0175
453,0.2
454,0.005
455,0.4375
456,0.005
457,0.395
458,0.5475
459,0.0
460,0.015
461,0.115
462,0.07
463,0.005
464,0.0025
465,0.0
466,0.1275
467,0.0025
468,0.0025
469,0.01
470,0.005
471,0.045
472,0.0
473,0.1525
474,0.0
475,0.0
476,0.0
477,0.0
478,0.78
479,0.0125
480,0.345
481,0.9475
482,0.455
483,0.0
484,0.0175
485,0.0125
486,0.0
487,0.0
488,0.38
489,0.8
490,0.11
491,0.015
492,0.0175
493,0.03
494,0.0025
495,0.7125
496,0.06
497,0.02
498,0.13
499,0.23
500,0.235
501,0.0
502,0.175
503,0.2725
504,0.415
505,0.08
506,0.0
507,0.0
508,0.0225
509,0.0075
510,0.1525
511,0.5325
512,0.1175
513,0.0
514,0.04
515,0.4975
516,0.0
517,0.0
518,0.0025
519,0.005
520,0.0025
521,0.0075
522,0.1275
523,0.035
524,0.045
525,0.0025
526,0.075
527,0.5175
528,0.14
529,0.0
530,0.005
531,0.0025
532,0.025
533,0.0
