,0
0,0.027208077
1,0.14600673
2,0.011705105
3,0.53905755
4,0.024348777
5,0.0029226842
6,0.17060299
7,0.03187993
8,0.035900164
9,0.97733647
10,0.008578912
11,0.15160558
12,0.04362562
13,0.042869575
14,0.022581458
15,0.024688967
16,0.23109335
17,0.030397197
18,0.3095215
19,0.013069339
20,0.91416544
21,0.046957713
22,0.17634161
23,0.9251409
24,0.011755287
25,0.0042869844
26,0.019552147
27,0.044480704
28,0.04192309
29,0.26958287
30,0.30546725
31,0.22248806
32,0.6955721
33,0.02118863
34,0.01745214
35,0.22769569
36,0.007509671
37,0.014579851
38,0.22091113
39,0.0150749935
40,0.017533682
41,0.33451065
42,0.3228188
43,0.93783915
44,0.017873883
45,0.14162357
46,0.35654274
47,0.034718826
48,0.020445507
49,0.38046977
50,0.012381074
51,0.024082506
52,0.023127735
53,0.030848764
54,0.16087863
55,0.04629209
56,0.019800197
57,0.012300659
58,0.0076580653
59,0.0062521286
60,0.012112835
61,0.2063216
62,0.48242587
63,0.015708324
64,0.11811034
65,0.058592156
66,0.7184402
67,0.15237089
68,0.9213921
69,0.9382067
70,0.27209267
71,0.42241204
72,0.5384241
73,0.027413907
74,0.007829745
75,0.13970241
76,0.2996381
77,0.16778995
78,0.21330442
79,0.03460047
80,0.030528558
81,0.7468022
82,0.8811637
83,0.41054526
84,0.985097
85,0.024326524
86,0.021860681
87,0.9641689
88,0.28560334
89,0.15168013
90,0.36171937
91,0.41948947
92,0.86283547
93,0.016934406
94,0.89701664
95,0.73980826
96,0.4401154
97,0.0052977344
98,0.012081448
99,0.007003195
100,0.8944979
101,0.02359969
102,0.59144855
103,0.033551674
104,0.021560758
105,0.47172996
106,0.92433923
107,0.0023837313
108,0.98076963
109,0.1870969
110,0.34931532
111,0.017208664
112,0.023110623
113,0.92475176
114,0.099412546
115,0.14553915
116,0.87599146
117,0.015635302
118,0.00853108
119,0.0799974
120,0.79527354
121,0.20232913
122,0.7864273
123,0.1620028
124,0.60260195
125,0.015206427
126,0.0070857857
127,0.0022581192
128,0.69274884
129,0.28340513
130,0.039449953
131,0.71277815
132,0.15516508
133,0.2500065
134,0.026568962
135,0.07643526
136,0.3166877
137,0.052045494
138,0.9290308
139,0.803274
140,0.72241586
141,0.025117815
142,0.011679599
143,0.3415852
144,0.510332
145,0.34281412
146,0.0037170264
147,0.10324772
148,0.45221305
149,0.1308411
150,0.43484867
151,0.03420063
152,0.8828291
153,0.6579796
154,0.0027464817
155,0.0328674
156,0.3254296
157,0.21629378
158,0.12264535
159,0.02866222
160,0.59290934
