ID,HasRevenue
0,0.09
1,0.01
2,0
3,0.05
4,0.02
5,0
6,0.01
7,0.08
8,0.03
9,0.76
10,0.01
11,0.01
12,0.07
13,0.01
14,0.05
15,0
16,0.02
17,0.05
18,0.19
19,0.02
20,0.54
21,0.03
22,0.05
23,0.5
24,0.01
25,0.01
26,0
27,0
28,0.07
29,0.01
30,0.7
31,0.02
32,0.72
33,0.03
34,0.01
35,0.01
36,0.01
37,0.02
38,0.02
39,0.01
40,0.02
41,0
42,0.04
43,0.58
44,0
45,0.03
46,0.02
47,0.07
48,0.01
49,0.05
50,0.04
51,0.1
52,0.01
53,0.07
54,0.01
55,0
56,0.01
57,0.02
58,0
59,0.02
60,0.02
61,0.03
62,0.51
63,0.18
64,0.04
65,0.01
66,0.7
67,0.01
68,0.66
69,0.65
70,0.04
71,0.03
72,0.03
73,0.03
74,0
75,0.01
76,0.02
77,0.05
78,0.04
79,0.02
80,0.02
81,0.54
82,0.48
83,0.02
84,0.62
85,0.01
86,0.03
87,0.62
88,0
89,0.02
90,0.19
91,0.02
92,0.58
93,0.05
94,0.62
95,0.7
96,0.02
97,0.01
98,0.04
99,0.07
100,0.58
101,0.02
102,0.45
103,0.01
104,0.06
105,0.05
106,0.51
107,0
108,0.57
109,0.01
110,0.03
111,0.04
112,0.01
113,0.59
114,0.04
115,0.02
116,0.54
117,0.01
118,0.01
119,0.03
120,0.52
121,0.03
122,0.53
123,0.01
124,0.49
125,0
126,0
127,0
128,0.5
129,0.02
130,0
131,0.51
132,0.06
133,0.03
134,0.01
135,0.02
136,0.08
137,0.17
138,0.53
139,0.48
140,0.5
141,0.01
142,0.01
143,0.06
144,0.16
145,0.17
146,0
147,0.03
148,0.08
149,0.09
150,0.04
151,0.11
152,0.61
153,0.06
154,0
155,0
156,0.01
157,0.05
158,0.01
159,0.01
160,0.16
161,0.02
162,0
163,0.09
164,0.54
165,0.01
166,0.01
167,0.03
168,0.03
169,0
170,0.02
171,0
172,0.08
173,0
174,0.07
175,0.05
176,0.07
177,0.52
178,0.08
179,0.01
180,0.53
181,0.01
182,0.01
183,0.16
184,0.06
185,0.6
186,0.06
187,0.02
188,0.02
189,0.01
190,0.01
191,0.01
192,0
193,0.58
194,0.02
195,0.02
196,0.02
197,0.03
198,0.06
199,0
200,0.01
201,0
202,0.01
203,0.04
204,0.47
205,0.01
206,0.05
207,0.02
208,0.56
209,0
210,0.01
211,0.01
212,0.1
213,0.04
214,0.55
215,0.06
216,0.08
217,0.02
218,0
219,0.01
220,0.01
221,0.04
222,0
223,0.07
224,0.02
225,0.58
226,0.04
227,0.02
228,0
229,0.03
230,0.06
231,0.07
232,0.18
233,0.17
234,0.02
235,0.05
236,0.01
237,0.05
238,0.02
239,0.05
240,0.05
241,0.06
242,0.49
243,0.11
244,0.05
245,0.01
246,0.11
247,0.01
248,0.59
249,0
250,0.02
251,0.04
252,0.03
253,0.49
254,0.66
255,0.66
256,0.56
257,0.06
258,0.61
259,0.03
260,0.02
261,0
262,0.53
263,0.02
264,0.02
265,0.09
266,0
267,0.03
268,0.01
269,0.13
270,0.18
271,0.56
272,0.6
