,a,b,c,d,e,f,g,h,i,j,k,l,m,n,o,p,q,r,Revenue,nf1,nf2,nf3,nf4,nf5,nf6,p1,p2,p3,p4,p5,p6
0,0.6222914,0.0,0.0,0.0,0.0,0.04680851,0.011495994,0.0,0.013468015,0.0,0.0,0.8888889,0.0,0.8333333,0.25,0.21052632,1.0,0.0,0.0,0.46028,0.63985217,0.82011396,0.580171,0.40724865,0.55946696,0.0,0.0,0.0,0.25724575,0.018503414,0.0013309311
1,0.7276364,0.0,0.0,0.0,0.0,0.0028368793,4.68944e-05,0.5,0.75,0.0,0.0,0.22222222,0.14285715,0.8333333,0.25,0.7368421,1.0,0.0,0.0,0.5394344,0.52256215,0.41949472,0.53844315,0.37474504,0.3652673,0.0,0.0,0.0,0.0080807535,0.00011407355,1.6103417e-06
2,0.44238248,0.11111111,0.009488783,0.0,0.0,0.038297873,0.019902766,0.0,0.044444446,0.15244429,0.0,0.8888889,0.14285715,0.8333333,0.0,0.21052632,0.5,0.0,1.0,0.6809156,0.17031182,0.72682536,0.63140905,0.8873267,0.62891567,0.012803335,0.00075659243,0.00020040726,0.25724575,0.015201524,0.0008983096
3,0.3581509,0.0,0.0,0.0,0.0,0.018439716,0.002024275,0.3076923,0.46153846,0.0,0.0,0.11111111,0.42857143,0.9166667,0.0,0.42105263,1.0,0.0,0.0,0.7691006,0.36311388,0.50260633,0.553834,0.44027942,0.24145012,0.0,0.0,0.0,0.0011695914,0.00020283269,3.517561e-05
4,0.63418156,0.074074075,0.009768297,0.0,0.0,0.012765957,0.002535945,0.0,0.090909086,0.0,0.0,0.6666667,0.14285715,0.8333333,0.0,0.15789473,1.0,0.0,0.0,0.4098525,0.4543522,0.851076,0.57519436,0.384263,0.37521064,0.0,0.0,0.0,0.13329633,0.0033101141,8.219922e-05
5,0.96566284,0.037037037,0.0023538065,0.0,0.0,0.04539007,0.010789685,0.06060606,0.14917356,0.03492257,0.0,1.0,0.42857143,0.25,0.75,0.21052632,1.0,1.0,0.0,0.15252942,0.8221103,0.5832618,0.39861053,0.65215933,0.57839394,0.0008167479,5.2305713e-05,6.764013e-05,0.33302465,0.02132738,0.0013658361
6,0.16857429,0.0,0.0,0.0,0.0,0.008510638,0.00053668034,0.16666666,0.25,0.0,0.6,0.22222222,0.14285715,0.8333333,0.625,0.6315789,1.0,0.0,0.0,0.64342856,0.58388054,0.24940118,0.82793117,0.5080464,0.416466,0.0,0.0,0.0,0.0080807535,0.00034126051,1.4411866e-05
7,0.4179353,0.0,0.0,0.0,0.0,0.0056737587,0.0011801757,0.0,0.25,0.0,0.0,0.11111111,0.14285715,0.8333333,0.0,0.42105263,1.0,1.0,0.0,0.39503127,0.43207148,0.6036656,0.28950292,0.45402312,0.17672694,0.0,0.0,0.0,0.0011695914,6.2805615e-05,3.3725833e-06
8,0.26491833,0.14814815,0.02427363,0.0,0.0,0.022695035,0.0046816245,0.0,0.02777778,0.0,0.0,1.0,0.42857143,0.25,0.25,0.21052632,1.0,1.0,0.0,0.0834904,0.6835458,0.5529891,0.6063105,0.62165505,0.5906323,0.0,0.0,0.0,0.33302465,0.01078202,0.00034907917
9,0.7195244,0.14814815,0.006620081,0.0,0.0,0.021276595,0.0056684907,0.14285713,0.19642858,0.0,0.0,1.0,0.71428573,0.8333333,0.625,0.6315789,1.0,0.0,0.0,0.8621463,0.63078344,0.65760046,0.41164795,0.4850649,0.5044026,0.0,0.0,0.0,0.33302465,0.010115174,0.00030723467
10,0.5741749,0.0,0.0,0.0,0.0,0.0056737587,0.0051740156,0.25,0.5,0.0,0.0,0.11111111,0.14285715,0.8333333,0.0,0.42105263,1.0,0.0,0.0,0.50142306,0.4567424,0.4762121,0.562925,0.3702757,0.3118422,0.0,0.0,0.0,0.0011695914,6.2805615e-05,3.3725833e-06
