ID,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue
0,2,208.0,1,50.0,30,1461.666667,0.0,0.02125,0.0,0.0,1,1,7,0,12,2,0,0
1,1,0.0,0,0.0,1,0.0,0.2,0.2,0.0,0.6,2,3,3,2,4,2,0,0
2,0,0.0,1,1729.0,19,1401.083333,0.02,0.05,0.0,0.0,9,1,10,0,12,2,0,0
3,0,0.0,16,1210.3976189999996,5,279.8571429,0.003174603,0.012764202,0.0,0.0,1,1,10,0,11,2,0,0
4,1,7.0,0,0.0,50,2330.727381,0.023809524,0.031399417,0.0,0.0,8,5,10,6,12,2,0,0
5,7,245.3333333,0,0.0,5,256.6666667,0.027272727000000004,0.051818182,0.0,0.0,2,3,3,6,12,2,0,0
6,3,155.7,0,0.0,18,595.0,0.0,0.010526316,0.0,0.0,8,3,3,0,4,1,0,0
7,6,48.625,0,0.0,14,211.4702381,0.001190476,0.039520717,0.0,0.0,8,5,10,1,5,2,0,0
8,0,0.0,0,0.0,22,2189.5,0.00952381,0.028571429,0.0,0.0,8,0,10,0,5,2,0,0
9,0,0.0,0,0.0,18,623.725,0.016666667,0.055396825,0.0,0.0,9,1,10,1,4,2,0,0
10,0,0.0,0,0.0,30,360.4733333,0.013333333,0.036666667,0.0,0.0,4,3,3,0,12,2,0,0
11,0,0.0,0,0.0,5,112.0,0.0,0.02,0.0,0.0,2,1,10,2,8,2,1,0
12,7,135.5,2,30.0,129,4115.978571,0.001470588,0.011288515,2.273598775,0.0,2,1,10,0,4,2,1,0
13,1,39.2,0,0.0,23,526.0,0.0,0.002173913,0.0,0.0,7,0,10,6,4,2,0,0
14,4,97.0,0,0.0,22,739.5833332999998,0.009090909,0.006060606,0.0,0.0,2,3,3,1,7,1,1,0
15,0,0.0,0,0.0,3,158.0,0.033333333,0.033333333,0.0,0.0,9,3,3,0,12,1,0,0
16,0,0.0,1,6.0,65,2349.101818,0.018785882,0.046505418,0.0,0.0,4,1,10,5,12,2,0,0
17,0,0.0,1,44.0,41,1089.75,0.0,0.005853659000000001,0.0,0.0,1,1,10,6,4,1,0,0
18,4,75.0,0,0.0,16,252.0,0.0,0.0044444440000000005,0.0,0.0,2,1,10,2,7,1,1,0
19,14,1097.016667,1,291.2,68,4100.255455,0.007631579,0.025614035,18.42740587,0.0,5,3,3,6,12,2,0,0
20,0,0.0,0,0.0,11,720.5,0.0,0.045454545,0.0,0.0,2,7,10,5,4,2,0,0
21,0,0.0,1,0.0,0,0.0,0.2,0.2,0.0,1.0,2,3,3,6,12,2,1,0
22,3,46.0,3,53.5,15,270.57142860000005,0.042105263,0.06973684200000001,12.15210526,0.0,2,5,10,2,3,2,1,0
